[2024-09-25,16:30:30],江西,{"uid":1,"oid":"o_1","pid":1,"amt":78.8}
[2024-09-25,16:30:30],江西,{"uid":1,"oid":"o_2","pid":2,"amt":68.8}
[2024-09-25,16:30:30],江西,{"uid":1,"oid":"o_3","pid":1,"amt":160.0}
[2024-09-25,16:30:30],江西,{"uid":2,"oid":"o_4","pid":2,"amt":120.8}
[2024-09-25,16:30:20],江西,{"uid":2,"oid":"o_5","pid":2,"amt":780.8}
[2024-09-25,17:30:20],安徽,{"uid":4,"oid":"o_10","pid":2,"amt":78.8}
[2024-09-25,17:30:20],安徽,{"uid":2,"oid":"o_6","pid":3,"amt":68.8}
[2024-09-25,17:40:30],安徽,{"uid":3,"oid":"o_7","pid":3,"amt":78.8}
[2024-09-25,17:40:30],安徽,{"uid":4,"oid":"o_9","pid":2,"amt":78.8}
[2024-09-25,17:40:30],安徽,{"uid":3,"oid":"o_8","pid":2,"amt":78.8}

